Hotel Name,City,Address,Rating,Price,Rooms,Amenities
Hotel Sayaji,Indore,Vijay Nagar Indore Madhya Pradesh,4.5,5200,120,"Free WiFi, Pool, Parking, Restaurant"
Radisson Blu,Indore,Scheme 94 Ring Road Indore,4.6,6000,150,"Free WiFi, Gym, Pool, Bar"
Hotel Crown Palace,Indore,South Tukoganj Indore,4.0,2800,60,"Free WiFi, Parking, Restaurant"
Hotel Apna Avenue,Indore,MG Road Indore,4.2,3500,80,"Free WiFi, Parking, Conference Hall"
Hotel Surya,Bhopal,Maharana Pratap Nagar Bhopal,4.1,3200,70,"Free WiFi, Parking, Restaurant"
Noor-Us-Sabah Palace,Bhopal,VIP Road Bhopal Madhya Pradesh,4.7,7500,100,"Lake View, Pool, Spa, Luxury Rooms"
Hotel Amer Palace,Bhopal,Hoshangabad Road Bhopal,4.0,3000,65,"Free WiFi, Parking, Restaurant"
Jehan Numa Palace,Bhopal,Shyamala Hills Bhopal,4.8,9000,90,"Luxury Rooms, Spa, Pool, Garden"
Hotel Clarks Khajuraho,Khajuraho,Civil Lines Khajuraho MP,4.3,4200,50,"Free WiFi, Pool, Parking"
Hotel Harmony,Khajuraho,Near Western Group Temples,4.1,2800,40,"Free WiFi, Restaurant, Parking"
Hotel Grand Heritage,Gwalior,City Center Gwalior MP,4.2,3600,55,"Free WiFi, Parking, Restaurant"
Usha Kiran Palace,Gwalior,Jayendraganj Gwalior,4.6,8200,85,"Luxury Rooms, Pool, Spa"
Hotel Satya Ashoka,Jabalpur,Wright Town Jabalpur,4.0,2600,45,"Free WiFi, Parking"
Vijan Mahal,Jabalpur,Civil Lines Jabalpur,4.1,3100,60,"Free WiFi, Restaurant, Parking"
Hotel Shri Ram Excellency,Ujjain,Near Mahakal Temple Ujjain,4.3,3500,50,"Free WiFi, Temple View, Parking"
Hotel Mittal Avenue,Ujjain,Freeganj Ujjain MP,4.0,2800,40,"Free WiFi, Restaurant" 
Hotel Sonar Bangla,Mandu,Mandu Fort Area MP,4.5,4800,45,"Heritage View, Restaurant, Parking"
Hotel Shiva Palace,Khargone,Bus Stand Road Khargone MP,3.8,1800,30,"Free WiFi, Parking, Restaurant"
Hotel Narmada Residency,Khargone,Narmada Marg Khargone MP,4.1,2600,45,"Free WiFi, Restaurant, Parking"
Hotel Raj Palace,Khargone,MG Road Khargone MP,3.9,2100,35,"Free WiFi, Parking"
Hotel Ashoka Inn,Khargone,Collector Office Road Khargone,4.0,2400,40,"Free WiFi, Restaurant, Parking"
Hotel Sai Kripa,Khargone,Near Railway Station Khargone,3.7,1600,25,"Free WiFi, Parking"
Hotel City Heart,Khargone,Bada Gaon Road Khargone MP,4.2,2800,50,"Free WiFi, Restaurant, Conference Hall"
Hotel Gopal Palace,Khargone,Jawahar Marg Khargone MP,3.8,1900,30,"Free WiFi, Parking"
Hotel Royal Stay,Khargone,Sanawad Road Khargone MP,4.1,2700,45,"Free WiFi, AC Rooms, Parking"
Hotel Narmada View,Khargone,Narmada River Road Khargone,4.3,3200,55,"River View, Restaurant, Parking"
Hotel Shree Ram Residency,Khargone,Near Main Market Khargone,3.9,2000,35,"Free WiFi, Restaurant"
